year,month,day,hour,min,second,validity,source,earthquake_mag,country,name,lat,lng,water_height,tsunami_mag_lida,tsunami_intensity,death_nbr,injuries_nbr,damage_mill,damage_code,house_destroyed,house_code
869,7,13,0,0,0,definite tsunami,Earthquake,8.6,JAPAN,SANRIKU,38.5,143.8,0,4,4,1000,0,24,3,0,0
887,8,2,0,0,0,probable tsunami,Earthquake,6.5,JAPAN,NIIGATA,37.5,138.1,0,2,1,2000,0,0,0,0,0
887,8,26,0,0,0,definite tsunami,Earthquake,8.6,JAPAN,NANKAIDO,33,135.3,0,3,3,0,0,24,3,0,0
922,0,0,0,0,0,definite tsunami,Earthquake,7,JAPAN,KUMANONADA,33.8,136.7,2,1,1,0,0,0,0,0,0
986,10,26,0,0,0,probable tsunami,Earthquake,0,TURKEY,MARMARA SEA,40.8,29.2,0,0,4,0,0,0,0,0,0
1008,4,11,0,0,0,questionable tsunami,Earthquake,6.5,IRAN,PERSIAN GULF,27.665,52.348,0,0,0,0,0,1,1,0,0
1026,6,16,0,0,0,probable tsunami,Earthquake,7.5,JAPAN,"OFF MASUDA, SHIMANE PREFECTURE",34.8,131.8,10,3.3,3,1001,0,25,4,3000,4
1039,2,2,0,0,0,very doubtful tsunami,Earthquake,6.8,TURKEY,CONSTANTINOPLE,38.4,27.3,0,0,0,0,0,0,0,0,0
1088,6,10,0,0,0,definite tsunami,Earthquake,7,JAPAN,"MIYAKO, IWATE PREFECTURE",40.5,143,0,1,1.5,0,0,0,0,0,0
1096,12,17,0,0,0,definite tsunami,Earthquake,8.4,JAPAN,ENSHUNADA,34,137.5,7,2.5,2,0,0,5,2,400,2
1099,2,22,0,0,0,definite tsunami,Earthquake,8.4,JAPAN,NANKAIDO,33,135.5,0,2.5,0,0,0,1,1,0,0
1114,3,12,0,0,0,Erroneous entry,Earthquake,0,ITALY,CALABRIAN ARC,36.5,36,0,0,3,0,0,0,0,0,0
1169,2,4,7,0,0,definite tsunami,Earthquake,7,ITALY,EASTERN SICILY,37.3,15.03,0,0,4,0,0,1,1,0,0
1202,5,20,0,0,0,definite tsunami,Earthquake and Landslide,7.6,SYRIA,SOUTHWESTERN SYRIA,33.5,36,0,0,5,0,0,1,1,0,0
1222,5,0,0,0,0,probable tsunami,Earthquake,6.6,CYPRUS ISLAND,CYPRUS,34.5,33,0,0,4,0,0,0,0,0,0
1231,3,11,0,0,0,questionable tsunami,Earthquake,6.9,TURKEY,MARMARA SEA,41,28.6,0,0,3,0,0,0,0,0,0
1241,5,22,0,0,0,definite tsunami,Earthquake,7,JAPAN,"KAMAKURA, SAGAMI BAY",35.2,139.4,0,1,1,0,0,1,1,0,0
1257,10,9,0,0,0,definite tsunami,Earthquake,7.5,JAPAN,OFF SANRIKU,39,144,0,2,2,0,0,0,0,0,0
1257,10,9,0,0,0,definite tsunami,Earthquake,7,JAPAN,"SAGAMI BAY, JAPAN",35.2,139.5,0,1,1,0,0,1,1,0,0
1265,8,11,0,0,0,probable tsunami,Earthquake,0,TURKEY,MARMARA SEA,40.7,27.4,0,0,3,0,0,0,0,0,0
1273,9,0,0,0,0,questionable tsunami,Earthquake,6.5,ALBANIA,ALBANIAN COASTS,41.3,19.7,0,0,3,0,0,0,0,0,0
1293,5,27,0,0,0,Erroneous entry,Earthquake,7.1,JAPAN,"KAMAKURA, SAGAMI BAY",35.2,139.4,0,1,1,0,0,0,0,0,0
1303,8,8,0,0,0,probable tsunami,Earthquake,8,GREECE,AEGEAN SEA,34,26,0,0,4,0,0,24,3,0,3
1331,8,15,0,0,0,definite tsunami,Earthquake,7,JAPAN,"OFF TANABE, WAKAYAMA PREFECTURE",33.7,135.2,0,0,0,0,0,0,0,0,0
1332,2,12,0,0,0,questionable tsunami,Earthquake,6.8,TURKEY,CONSTANTINOPLE,40.9,28.9,0,0,3,0,0,0,0,0,0
1341,1,1,0,0,0,Erroneous entry,Earthquake,6,UKRAINE,CRIMEA,44.3,34.3,0,0,0,0,0,0,0,0,0
1341,10,31,0,0,0,probable tsunami,Earthquake,7,JAPAN,"JUSANKO, TSUGARU AOMORI PREFECTURE",41,139.5,0,2.5,2.5,2600,0,0,0,0,0
1343,10,18,0,0,0,definite tsunami,Earthquake,7.5,TURKEY,"MARMARA SEA, STRAIT OF BOSPORUS",40.8,28.3,0,0,5,0,0,5,2,0,2
1360,11,22,0,0,0,definite tsunami,Earthquake,7,JAPAN,KUMANONADA,33.4,136.2,0,2.5,2,0,0,0,0,0,0
1361,8,3,0,0,0,definite tsunami,Earthquake,8.4,JAPAN,NANKAIDO,33,135,0,4,3,660,0,25,4,1700,4
1389,3,20,0,0,0,questionable tsunami,Earthquake,6.8,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",38.4,26.3,0,0,3,0,0,0,0,0,0
1402,6,0,0,0,0,questionable tsunami,Earthquake,0,GREECE,GULF OF CORINTH,38.11,22.41,0,0,5,0,0,0,0,0,0
1403,12,0,0,0,0,definite tsunami,Earthquake,7,JAPAN,KUMANONADA,33.7,136.5,2,1,1,0,0,0,0,0,0
1406,10,16,0,0,0,Erroneous entry,Meteorological,6.2,JAPAN,"SHIZUOKA, JAPAN",34.4,138.4,0,1,1,0,0,0,0,0,0
1408,1,21,0,0,0,definite tsunami,Earthquake,7,JAPAN,KUMANONADA,33.8,136.9,2,1,1,0,0,0,0,0,0
1433,11,7,0,0,0,definite tsunami,Earthquake,7.1,JAPAN,OFF IZU-OSHIMA,34.9,139.5,2,1,1,0,0,0,0,0,0
1448,9,19,0,0,0,probable tsunami,Earthquake,7,JAPAN,"SADO, JAPAN",37.5,138.2,0,2,2,0,0,5,2,0,0
1481,5,3,0,0,0,questionable tsunami,Earthquake,7.1,GREECE,ISLAND OF RHODES,36,28,3,0,3,0,0,24,3,0,0
1494,7,1,0,0,0,probable tsunami,Earthquake,7.2,GREECE,ISLAND OF CRETE,35.5,25.5,0,0,2,0,0,1,1,0,0
1495,9,12,0,0,0,definite tsunami,Earthquake,7.1,JAPAN,"KAMAKURA, SAGAMI BAY, TOKAIDO",35.1,139.5,5,2,2,200,0,0,0,0,0
1498,7,9,0,0,0,questionable tsunami,Earthquake,6.4,JAPAN,ENSHUNADA,34.4,137.7,0,0,0,0,0,0,0,0,0
1498,9,20,0,0,0,definite tsunami,Earthquake,8.3,JAPAN,ENSHUNADA SEA,34,138.1,10,3,4,5000,0,25,4,1000,4
1498,9,20,0,0,0,definite tsunami,Earthquake,7.5,JAPAN,NANKAIDO,33.5,135.2,0,2,0,0,0,1,1,0,0
1508,5,29,0,0,0,questionable tsunami,Earthquake,7.1,GREECE,ISLAND OF CRETE,35,25.5,0,0,3,0,0,0,0,0,0
1509,9,10,0,0,0,probable tsunami,Earthquake,7.7,TURKEY,MARMARA SEA,40.8,28.1,0,0,3,0,0,0,0,0,0
1510,9,21,0,0,0,definite tsunami,Earthquake,6.7,JAPAN,OSAKA BAY,34.6,135.4,2,1,1,0,0,1,1,0,0
1511,3,26,0,0,0,questionable tsunami,Earthquake,6.5,ITALY,NORTH ADRIATIC,46.2,13.433,0,0,3,0,0,0,0,0,0
1513,0,0,0,0,0,questionable tsunami,Earthquake,8.7,PERU,CALLAO,-17.2,-72.3,0,0,3,0,0,0,0,0,0
1520,4,4,0,0,0,definite tsunami,Earthquake,7,JAPAN,"KII, KUMANANONADA",33.6,136.3,2,1,1,0,0,1,1,0,2
1531,1,26,0,0,0,definite tsunami,Earthquake,7.7,PORTUGAL,"TAGUS RIVER, LISBON",38.7,-9.1,0,0,0,0,0,1,1,0,0
1531,1,0,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,4.8,CHINA,JIANGSU PROVINCE,30.7,117.5,0,0,0,0,0,0,0,0,0
1542,12,10,0,0,0,probable tsunami,Earthquake,6.6,ITALY,"SICILY, ITALY",37.07,15.3,0,0,0,0,0,0,0,0,0
1546,1,14,0,0,0,probable tsunami,Earthquake,6.5,ISRAEL,GAZA - JAFFA,32,35.5,0,0,3,0,0,0,0,0,0
1562,10,28,10,0,0,probable tsunami,Earthquake,8,CHILE,SOUTHERN CHILE,-38.7,-73.5,0,4,3.5,0,0,24,3,0,0
1564,7,20,0,0,0,definite tsunami,Earthquake,5.8,FRANCE,LIGURIA-COTE D'AZUR,44.017,7.283,0,0,4,0,0,1,1,0,0
1570,2,8,13,0,0,probable tsunami,Earthquake,8.3,CHILE,CENTRAL CHILE,-36.75,-73,0,2,3,2000,0,24,3,0,3
1575,12,16,18,30,0,probable tsunami,Earthquake,8.5,CHILE,SOUTHERN CHILE,-39.8,-73.2,0,2,2.5,1300,0,5,2,0,2
