year,month,day,hour,min,second,validity,source,earthquake_mag,country,name,lat,lng,water_height,tsunami_mag_lida,tsunami_intensity,death_nbr,injuries_nbr,damage_mill,damage_code,house_destroyed,house_code
1703,12,30,17,0,0,definite tsunami,Earthquake,8.2,JAPAN,OFF SW BOSO PENINSULA,34.7,139.8,11.7,4,3,5233,0,25,4,20162,4
1707,10,28,4,0,0,definite tsunami,Earthquake,8.4,JAPAN,ENSHUNADA,34.1,137.8,11,3,0,2000,0,25,4,10000,4
1707,10,28,5,0,0,definite tsunami,Earthquake,8.4,JAPAN,NANKAIDO,33.2,134.8,25.7,3.5,4,5000,0,25,4,17000,4
1708,2,13,0,0,0,definite tsunami,Earthquake,7,JAPAN,TOKAIDO,34,137,0,1,1,0,0,1,1,0,0
1710,4,16,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,5.5,CHINA,HUNAN PROVINCE,27.8,111.6,2,0,0,0,0,0,0,0,0
1711,9,5,0,0,0,definite tsunami,Earthquake,7,INDONESIA,BANDA SEA,-4,129,1.2,1,1.5,2,0,1,1,2,1
1711,12,20,0,0,0,definite tsunami,Earthquake,6.7,JAPAN,"SEIONAIKAI, JAPAN",34.3,134,2,1,1,0,0,0,0,0,0
1715,8,23,0,0,0,probable tsunami,Earthquake,7.5,PERU,PERU,-17.3,-70.8,0,0,0,0,0,0,0,0,0
1715,12,29,0,0,0,definite tsunami,Earthquake,6.6,JAPAN,SEIKAIDO,33.3,131.7,0,0,0,0,0,0,0,0,0
1723,2,18,2,0,0,very doubtful tsunami,Earthquake,7,GREECE,IONIAN SEA,38.5,20.5,0,0,3,0,0,0,0,0,0
1726,4,1,0,0,0,definite tsunami,Earthquake,6.6,JAPAN,KATSUYAMA,36.3,136,0,1,1,0,0,5,2,0,2
1726,9,1,21,55,0,definite tsunami,Earthquake,5.8,ITALY,NORTHERN SICILY,38.117,13.35,0,0,3,0,0,0,0,0,0
1727,7,4,0,0,0,questionable tsunami,Earthquake,5.2,ITALY,SICILY CHANNEL,37.5,13,0,0,3,0,0,0,0,0,0
1730,7,8,8,45,0,definite tsunami,Earthquake,9.1,CHILE,CENTRAL CHILE,-32.5,-71.5,8,4,3.5,3,0,24,3,0,3
1730,11,10,0,0,0,very doubtful tsunami,Earthquake,7.6,JAPAN,KASHIMA,36.2,142.2,0,0,0,0,0,0,0,0,0
1732,12,4,0,0,0,probable tsunami,Earthquake,6.5,JAPAN,"KUJUKURI BEACH, JAPAN",35.2,140.8,2,1,1,0,0,0,0,0,0
1737,12,17,0,0,0,Erroneous entry,Earthquake,7.5,RUSSIA,KAMCHATKA,50,157,0,0,0,0,0,0,0,0,0
1737,12,24,0,0,0,very doubtful tsunami,Earthquake,8,CHILE,SOUTHERN CHILE,-43,-74,0,0,0,0,0,0,0,0,0
1738,7,19,0,0,0,very doubtful tsunami,Earthquake,6.5,GREECE,"MILOS ISLAND, AEGEAN ISLANDS",36.8,24.4,0,0,3,0,0,0,0,0,0
1741,1,31,0,0,0,probable tsunami,Earthquake,0,GREECE,ISLAND OF RHODES,36.2,28.5,0,0,4,0,0,0,0,0,0
1741,8,29,0,0,0,definite tsunami,Volcano,0,JAPAN,W. HOKKAIDO ISLAND,41.5,139.37,90,3.2,2.5,2000,0,24,3,871,3
1742,11,18,0,0,0,probable tsunami,Earthquake,7,RUSSIA,N. KURIL ISLANDS,51.5,157,0,1,1.5,0,0,0,0,0,0
1743,2,20,23,30,0,very doubtful tsunami,Earthquake,6.9,ITALY,IONIAN AND ADRIATIC SEAS,39,20.3,0,0,0,0,0,0,0,0,0
1746,10,29,3,30,0,definite tsunami,Earthquake,8,PERU,CENTRAL PERU,-11.996,-77.198,24,4.6,3.5,4800,0,25,4,0,3
1748,5,14,0,0,0,definite tsunami,Earthquake,6.8,GREECE,CORINTHOS-PATRAS GULF,38.3,22.1,0,0,3,0,0,5,2,0,2
1751,5,20,0,0,0,definite tsunami,Earthquake and Landslide,6.6,JAPAN,NW. HONSHU ISLAND,37.2,138.1,0,1,1,2100,0,25,4,9100,4
1751,5,25,5,30,0,definite tsunami,Earthquake,8.5,CHILE,CENTRAL CHILE,-37,-73,3.5,1.8,3.5,65,0,1,1,0,0
1751,9,15,19,0,0,Erroneous entry,Earthquake,7.3,HAITI,PORT-AU-PRINCE,18.5,-72.3,0,0,0,0,0,0,0,0,0
1751,10,18,19,0,0,probable tsunami,Earthquake,7.3,DOMINICAN REPUBLIC,AZUA DE COMPOSTELA,18.5,-70.7,0,0,0,0,0,24,3,0,3
1754,4,0,0,0,0,Erroneous entry,Earthquake,0,TAIWAN,E. CHINA SEA,25.3,121.4,0,0,0.5,0,0,1,1,0,0
1754,8,18,0,0,0,probable tsunami,Earthquake,6.5,INDONESIA,BANDA SEA,-3.5,128.5,0,0,0,0,0,0,0,0,0
1754,9,2,21,30,0,questionable tsunami,Earthquake,0,TURKEY,MARMARA SEA,40.6,30,0,0,0,0,0,0,0,0,0
1755,11,1,9,30,0,definite tsunami,Earthquake,8.5,PORTUGAL,LISBON,37,-10,18.3,3.6,0,50000,0,25,4,0,4
1756,10,22,15,30,0,very doubtful tsunami,Earthquake,0,ITALY,GARGANO PENINSULA,37.7,22.8,0,0,4,0,0,0,0,0,0
1757,8,24,0,0,0,questionable tsunami,Earthquake,7.5,INDONESIA,JAKARTA,-6,107,0.5,0,-0.5,0,0,0,0,0,0
1761,3,31,12,1,0,probable tsunami,Earthquake,8.5,PORTUGAL,SW PORTUGAL,34.5,-13,2.4,1.3,2,0,0,0,0,0,0
1762,10,31,5,0,0,definite tsunami,Earthquake,6.6,JAPAN,NW. HONSHU ISLAND,38.1,138.7,0,1,1,0,0,1,1,26,1
1763,1,29,9,0,0,probable tsunami,Earthquake,7.4,JAPAN,SANRIKU,40.8,142,5,2,2,0,0,1,1,2,1
1763,3,11,0,0,0,definite tsunami,Earthquake,7.8,JAPAN,N. SANRIKU,41,142.5,0,1,1,0,0,5,2,0,2
1763,3,15,0,0,0,definite tsunami,Earthquake,7.1,JAPAN,"SANRIKU, HACHIONHE",40.7,142,0,1,1,0,0,24,3,0,0
1766,3,8,0,0,0,definite tsunami,Earthquake,6.9,JAPAN,SANRIKU,40.9,140.7,0,-0.1,1,1700,0,25,4,8200,4
1766,5,22,5,30,0,questionable tsunami,Earthquake,6.5,TURKEY,MARMARA SEA,40.8,29,0,0,2,0,0,0,0,0,0
1766,6,12,4,45,0,Erroneous entry,Earthquake,6.8,CUBA,SANTIAGO DE CUBA,19.9,-76.1,0,0,0,0,0,0,0,0,0
1766,10,21,9,0,0,very doubtful tsunami,Earthquake,7.5,VENEZUELA,CUMANA,10.47,-64.17,0,0,0,0,0,5,2,0,0
1768,6,22,0,0,0,probable tsunami,Earthquake,7.5,PAPUA NEW GUINEA,"CAPE SAINT GEORGE, NEW IRELAND",-4.85,152.8,0,0,1,0,0,0,0,0,0
1768,7,22,0,0,0,definite tsunami,Earthquake,6.5,JAPAN,RYUKYU ISLANDS,26.2,127.5,1.2,0.3,1,0,0,1,1,9,1
1769,8,29,0,0,0,definite tsunami,Earthquake,7.4,JAPAN,SW. KYUSHU ISLAND,32.3,132,0,1,1,0,0,0,0,0,0
1769,0,0,0,0,0,probable tsunami,Earthquake,0,GREECE,CORINTH GULF,38.4,12.2,0,0,0,0,0,0,0,0,0
1770,0,0,0,0,0,probable tsunami,Earthquake,7,INDONESIA,SW. SUMATRA,-5,102,0,0,0.5,0,0,0,0,0,0
1771,4,24,0,0,0,definite tsunami,Earthquake,7.4,JAPAN,RYUKYU ISLANDS,24,124.3,85.4,6.4,3,13486,0,25,4,3237,4
1780,6,29,0,0,0,definite tsunami,Earthquake,7.5,RUSSIA,S. KURIL ISLANDS,45.3,151.2,12,3.6,3,12,0,1,1,0,1
1782,5,22,0,0,0,questionable tsunami,Earthquake,7,TAIWAN,TAIWAN STRAIT,24.5,120.5,10,0,2.5,40000,0,24,3,0,3
1782,8,22,0,0,0,definite tsunami,Earthquake and Landslide,7.3,JAPAN,"ODAWARA, SAGAMI BAY",35.1,139.7,0,1,1,0,0,0,0,0,0
1783,2,5,12,0,0,definite tsunami,Earthquake,6.9,ITALY,TYRRHENIAN CALABRIA,38.3,15.967,0,0,4,0,0,1,1,0,1
1783,2,6,0,20,0,definite tsunami,Earthquake and Landslide,5.9,ITALY,MESSINA STRAITS,38.217,15.633,16,0,0,1500,0,5,2,0,2
1783,2,7,13,10,0,very doubtful tsunami,Earthquake,6.6,ITALY,TYRRHENIAN CALABRIA,38.583,16.2,0,0,0,0,0,0,0,0,0
1783,3,1,1,40,0,probable tsunami,Earthquake,5.9,ITALY,TYRRHENIAN CALABRIA,38.767,16.3,0,0,3,0,0,0,0,0,0
1783,3,28,18,55,0,probable tsunami,Earthquake,6.9,ITALY,TYRRHENIAN CALABRIA,38.783,16.467,0,0,0,0,0,0,0,0,0
1784,1,7,0,0,0,definite tsunami,Earthquake,4.1,ITALY,IONIAN CALABRIA,38.317,16.4,0,0,5,0,0,1,1,0,3
1784,1,19,0,0,0,questionable tsunami,Earthquake,4.1,ITALY,MESSINA STRAITS,38.167,15.633,0,0,3,0,0,1,1,0,0
1784,5,13,12,35,0,questionable tsunami,Earthquake,8,PERU,S. PERU,-16.5,-72,0,0,0,0,0,1,1,0,1
1787,3,28,17,30,0,definite tsunami,Earthquake,8.3,MEXICO,SAN MARCOS,16.5,-98.5,4,2,2.5,11,0,24,3,0,3
1787,4,3,15,30,0,questionable tsunami,Earthquake,7.3,MEXICO,SAN MARCOS,15.5,-97,4,2,1,0,0,0,0,0,0
1788,7,21,0,0,0,definite tsunami,Earthquake,8,USA,"ALASKA PENINSULA, AK",57,-153,30,3,4,0,0,1,1,0,1
1788,8,6,0,0,0,definite tsunami,Earthquake,8,USA,"SHUMAGIN ISLANDS, AK",55,-161,88,3.3,4,0,0,0,0,0,0
1791,4,15,0,0,0,very doubtful tsunami,Earthquake,6.8,RUSSIA,KAMCHATKA,56,163,0,0,0,0,0,0,0,0,0
1791,9,13,0,0,0,probable tsunami,Earthquake,6.5,JAPAN,OASAKA BAY,34.5,135.4,0,1,1,0,0,1,1,0,0
1791,11,2,21,0,0,questionable tsunami,Earthquake,7,GREECE,IONIAN SEA,37.8,21,0,0,3,0,0,0,0,0,0
1792,5,21,0,0,0,definite tsunami,Volcano,6.4,JAPAN,"SHIMABARA BAY, KYUSHU ISLAND",32.75,130.3,55,3.5,3,15000,707,25,4,6200,4
1792,6,13,0,0,0,definite tsunami,Earthquake,6.9,JAPAN,W. HOKKAIDO ISLAND,43.5,140.6,0,1,1,0,0,1,1,0,0
1792,8,9,0,0,0,questionable tsunami,Earthquake,6,TAIWAN,TAINAN,23.6,120.5,10,0,0,0,0,0,0,0,0
1792,8,22,18,0,0,very doubtful tsunami,Earthquake,8.4,RUSSIA,KAMCHATKA,54,162,0,0,2,0,0,0,0,0,0
1793,2,8,3,0,0,definite tsunami,Earthquake,6.9,JAPAN,W. OFF AOMORI,40.85,139.95,1.8,1,2,12,0,1,1,0,1
1793,2,17,0,0,0,definite tsunami,Earthquake,8.3,JAPAN,SANRIKU,38.5,144,4.5,2.2,2,720,0,24,3,100,2
1794,6,11,3,0,0,probable tsunami,Earthquake and Landslide,0,GREECE,CORINTH GULF,38.3,22.3,0,0,0,0,0,0,0,0,0
1797,2,10,0,0,0,definite tsunami,Earthquake,8,INDONESIA,SW. SUMATRA,0.001,99,0,0,3,300,0,5,2,0,3
1799,6,29,0,0,0,definite tsunami,Earthquake,6.4,JAPAN,SW. HONSHU ISLAND,36.6,136.6,0,1,1,0,0,5,2,0,0
1802,12,9,5,0,0,definite tsunami,Earthquake,6.6,JAPAN,NW. HONSHU ISLAND,37.7,138.3,0,0,0,0,0,0,0,0,0
1804,6,8,3,0,0,probable tsunami,Earthquake,6.7,GREECE,CORINTHOS-PATRAS GULF,38.3,21.8,0,0,3,0,0,0,0,0,0
1804,7,10,13,0,0,definite tsunami,Earthquake,7.3,JAPAN,NW. HONSHU ISLAND,39.05,139.95,1,0.5,1,0,0,5,2,0,0
1805,7,26,20,57,0,definite tsunami,Earthquake,0,ITALY,CAMPANIA,41.5,14.467,0,0,2,0,0,0,0,0,0
1806,12,1,23,0,0,probable tsunami,Earthquake,7.5,PERU,CENTRAL PERU,-12.1,-77.1,1,0,0.5,0,0,1,1,0,0
1808,4,2,16,43,0,questionable tsunami,Earthquake,5.7,ITALY,ITALIAN COAST,44.833,7.25,0.15,0,2,0,0,0,0,0,0
1808,8,8,0,0,0,definite tsunami,Earthquake,6.5,JAPAN,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,1.5,0.5,0.5,0,0,0,0,0,0
1810,8,27,0,0,0,definite tsunami,Earthquake and Landslide,7.4,MEXICO,MEXICO,26,-111.35,0,0,0,0,0,1,1,0,0
1810,9,25,0,0,0,definite tsunami,Earthquake,6.6,JAPAN,NW. HONSHU ISLAND,39.9,139.9,1,1,0,0,0,0,0,0,0
1811,12,16,8,15,0,event that only caused a seiche or disturbance in an inland river,Earthquake,8.5,USA,AR: NE - NEW MADRID EARTHQUAKES,35.6,-90.4,0,0,0,0,0,5,2,0,0
1811,12,16,14,15,0,event that only caused a seiche or disturbance in an inland river,Earthquake,8,USA,AR: NE - NEW MADRID EARTHQUAKES,35.6,-90.4,0,0,0,0,0,0,0,0,0
1812,1,23,15,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,8.4,USA,"NEW MADRID, MO",36.3,-89.6,0,0,0,0,1,5,2,0,0
1812,2,7,9,45,0,event that only caused a seiche or disturbance in an inland river,Earthquake,8.8,USA,"NEW MADRID, MO",36.5,-89.6,0,0,0,0,1,5,2,0,0
1812,3,26,20,7,0,questionable tsunami,Earthquake,7.7,VENEZUELA,LA GUAIRA,10.6,-66.9,0,0,0,0,0,1,1,0,0
1812,12,21,19,0,0,definite tsunami,Earthquake and Landslide,7.5,USA,S. CALIFORNIA,34.2,-119.9,3.4,1.8,1.5,0,0,1,1,0,0
1815,11,22,0,0,0,probable tsunami,Earthquake and Landslide,7,INDONESIA,BALI SEA,-8,115,0,1,1.5,1200,0,0,0,0,0
1817,8,23,8,0,0,probable tsunami,Earthquake,6.8,GREECE,CORINTHOS-PATRAS GULF,38.3,22.1,5,0,3,0,0,0,0,0,0
1818,2,20,18,15,0,definite tsunami,Earthquake,0,ITALY,EASTERN SICILY,37.6,15.133,0,0,3,0,0,0,0,0,0
1818,2,23,18,10,0,questionable tsunami,Earthquake,5.6,ITALY,LIGURIA-COTE D'AZUR,43.917,8.033,0,0,3,0,0,0,0,0,0
1818,3,18,0,0,0,probable tsunami,Earthquake and Landslide,7,INDONESIA,"BENGKULU, SUMATRA",-4,101.5,0,0,1.5,0,0,1,1,0,0
1818,11,8,0,0,0,questionable tsunami,Earthquake,8.5,INDONESIA,BALI SEA,-7,117,3.5,0,2,0,0,0,0,0,0
1819,4,12,3,0,0,definite tsunami,Earthquake,8.5,CHILE,NORTHERN CHILE,-27,-71.5,4,2,2,0,0,5,2,0,2
1819,6,16,0,0,0,probable tsunami,Earthquake,7.7,INDIA,KUTCH,23,71,0,0,0,0,0,5,2,0,2
1819,8,31,0,0,0,probable tsunami,Earthquake,5.8,NORWAY,NORWAY: RANA REGION: LUROY,66.416,12.85,0,0,0,0,0,0,0,0,0
1820,3,17,0,0,0,Erroneous entry,Earthquake,0,GREECE,ISLAND OF LEVKAS,38.8,20.8,0,0,0,0,0,0,0,0,0
1820,5,4,0,0,0,definite tsunami,Earthquake,7.6,MEXICO,S. MEXICO,17.2,-99.6,4,1,1.5,0,0,0,0,0,0
1820,12,29,0,0,0,definite tsunami,Earthquake,7.5,INDONESIA,FLORES SEA,-7,119,25,4,3.5,500,0,5,2,0,3
1820,12,29,0,0,0,questionable tsunami,Earthquake,6.9,GREECE,ISLAND OF ZAKYNTHOS,37.75,21.25,0,0,3,0,0,0,0,0,0
1820,0,0,0,0,0,questionable tsunami,Earthquake,6.2,CONGO,GOLD COAST,-4.5,11.6,0,0,0,0,0,1,1,0,0
1821,1,6,0,0,0,definite tsunami,Earthquake,6.5,GREECE,IONIAN SEA,37.8,21.3,0,0,0,0,0,1,1,0,0
1822,5,7,0,0,0,questionable tsunami,Earthquake,7.6,COSTA RICA,MATINA,10.1,-83.3,0,0,0,0,0,0,0,0,0
1822,8,13,20,0,0,questionable tsunami,Earthquake,7.1,TURKEY,ANTIOCHIA,36,36,0,0,3,0,0,0,0,0,0
1822,11,20,2,30,0,definite tsunami,Earthquake,8.5,CHILE,CENTRAL CHILE,-33,-72,3.6,1.8,2,0,0,0,0,0,0
1823,9,9,0,0,0,questionable tsunami,Earthquake,6.8,INDONESIA,JAVA,-6.5,108.5,0.3,0,-1.5,0,0,0,0,0,0
1825,1,19,11,45,0,very doubtful tsunami,Earthquake,6.8,GREECE,IONIAN SEA,38.8,20.7,0,0,3,0,0,0,0,0,0
1825,2,26,0,0,0,very doubtful tsunami,Earthquake,6.3,COLOMBIA,SANTA MARTA,11.1,-74.1,0,0,0,0,0,0,0,0,0
1827,11,16,22,45,0,Erroneous entry,Earthquake,7,ECUADOR,ECUADOR,-1.8,-76.4,0,0,0,0,0,0,0,0,0
1828,5,26,0,0,0,definite tsunami,Earthquake,6.4,JAPAN,AMAKUSA SEA,32.6,129.9,0,0,0,0,0,0,0,0,0
1828,11,9,10,30,0,very doubtful tsunami,Earthquake,7.5,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,0,0,0.5,0,0,0,0,0,0
1829,5,23,0,0,0,questionable tsunami,Earthquake,0,TURKEY,CONSTANTINOPLE,41.1,24.3,0,0,2,0,0,0,0,0,0
1833,1,19,0,0,0,questionable tsunami,Earthquake,6.4,ALBANIA,ALBANIA,40.4,19.9,0,0,4,0,0,0,0,0,0
1833,9,6,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,8,CHINA,YUNNAN PROVINCE,25.2,103,0,0,0,0,0,0,0,0,0
1833,9,18,10,45,0,very doubtful tsunami,Earthquake,7.7,PERU,S. PERU,-18.251,-71.01,9,0,0,0,0,0,0,0,0
1833,11,24,0,0,0,definite tsunami,Earthquake,8.3,INDONESIA,SW. SUMATRA,-2.5,100.5,0,0,2.5,0,0,5,2,0,1
1833,12,7,0,0,0,definite tsunami,Earthquake,7.4,JAPAN,NW. HONSHU ISLAND,38.9,139.15,9,2.5,2.5,50,0,24,3,600,3
1834,2,9,1,0,0,definite tsunami,Earthquake,6.4,JAPAN,W. HOKKAIDO ISLAND,43.3,141.4,0,2,1,0,0,1,1,50,1
1834,3,14,0,0,0,very doubtful tsunami,Earthquake,7,MEXICO,S. MEXICO,16.8,-99.9,0,1,0,0,0,1,1,0,2
1835,2,20,16,22,0,definite tsunami,Earthquake,8.2,CHILE,CENTRAL CHILE,-36.83,-73.03,24,4,3,3,0,5,2,0,3
1835,7,20,0,0,0,definite tsunami,Earthquake,7.6,JAPAN,SANRIKU,37.9,141.9,5,2.3,2,0,0,24,3,0,3
1836,7,3,0,0,0,questionable tsunami,Earthquake,7.5,CHILE,NORTHERN CHILE,-22.6,-70.3,0,1,1,0,0,0,0,0,0
1836,9,5,0,0,0,Erroneous entry,Earthquake,0,JAPAN,SANRIKU,37.7,142,0,1,1,0,0,0,0,0,0
1836,11,28,0,0,0,questionable tsunami,Earthquake,7.5,INDONESIA,FLORES SEA,-8.3,118.7,0,0,0.5,0,0,0,0,0,0
1837,8,9,0,0,0,questionable tsunami,Earthquake,6.5,MEXICO,ACAPULCO,16.86,-99.88,0,0,0,0,0,0,0,0,0
1837,9,29,0,0,0,questionable tsunami,Earthquake,7.3,INDONESIA,BANDA ACEH,5.5,96,0,0,0.5,0,0,0,0,0,0
1837,10,18,0,0,0,questionable tsunami,Earthquake,7,MEXICO,MEXICO CITY,19.45,-99.15,0,0,0,0,0,0,0,0,0
1837,11,7,12,51,0,definite tsunami,Earthquake,8.5,CHILE,SOUTHERN CHILE,-42.5,-74,6,3,3,16,0,5,2,0,3
1839,5,1,0,0,0,very doubtful tsunami,Earthquake,7.3,JAPAN,SE. HOKKAIDO ISLAND,42.5,145,0,1,1,0,0,0,0,0,0
1840,1,4,0,0,0,questionable tsunami,Earthquake,7,INDONESIA,JAVA,-8,110.5,0,0,0,0,0,0,0,0,0
1840,3,22,0,0,0,very doubtful tsunami,Earthquake,6.5,PHILIPPINES,PHILIPPINE SEA,12.9,123.9,0,1,1,35,0,1,1,0,0
1840,11,11,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,5.2,USA,"PHILADELPHIA, PENNSYLVANIA",39.8,-75.2,0,0,0,0,0,0,0,0,0
1841,5,17,21,30,0,definite tsunami,Earthquake,8.4,RUSSIA,KAMCHATKA,52,158,15,3.9,3,0,0,1,1,0,0
1841,12,16,0,0,0,probable tsunami,Earthquake,6,INDONESIA,BANDA SEA,-4,127.5,1.5,1,1.5,0,0,5,2,0,3
1842,5,7,21,0,0,definite tsunami,Earthquake,8.1,HAITI,CAP-HAITIAN,19.75,-72.2,5,4.2,0,300,0,24,3,0,3
1842,11,11,0,0,0,very doubtful tsunami,Earthquake,6,BANGLADESH,BAY OF BENGAL: NORTHERN END,24,89.25,0,0,0,0,0,0,0,0,0
1843,1,5,0,0,0,definite tsunami,Earthquake,7.3,INDONESIA,SW. SUMATRA,1.5,98,0,0,2,0,0,24,3,0,3
1843,2,7,0,0,0,very doubtful tsunami,Earthquake,6,INDONESIA,BALI SEA,-7.2,114,0,0,0,0,0,0,0,0,0
1843,2,8,14,50,0,definite tsunami,Earthquake,8.3,GUADELOUPE (FRENCH TERRITORY),POINTE-A-PITRE,16.5,-62.2,1.2,0.3,0,0,0,0,0,0,0
1843,4,25,0,0,0,definite tsunami,Earthquake,8.4,JAPAN,SE. HOKKAIDO ISLAND,42,146,4.5,2.2,2.5,45,0,5,2,75,2
1843,7,8,5,5,0,questionable tsunami,Earthquake,7.5,NEW ZEALAND,NEW ZEALAND,-39.9,175,0,0,0,0,0,0,0,0,0
1843,9,14,10,30,0,questionable tsunami,Earthquake,0,CROATIA,DUBROVNIK,42.6,18.1,0,0,4,0,0,0,0,0,0
1843,10,18,0,0,0,questionable tsunami,Earthquake,6.5,GREECE,ISLAND OF CHALKI,36.3,27.6,0,0,4,0,0,0,0,0,0
1844,5,0,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,7.4,NICARAGUA,LAKE NICARAGUA,11.2,-84.8,0,0,0,0,0,1,1,0,1
1845,2,8,7,30,0,probable tsunami,Earthquake,7,INDONESIA,CELEBES SEA,1.5,124.85,0,0,0,0,0,0,0,0,0
1845,4,7,0,0,0,probable tsunami,Earthquake,8,MEXICO,S. MEXICO,17,-100.6,0,0,1.5,0,0,0,0,0,0
1845,6,19,0,0,0,probable tsunami,Earthquake,6.3,INDIA,RANN OF KUTCH,23.583,68.367,0,0,0,0,0,5,2,0,2
1846,1,25,0,0,0,definite tsunami,Earthquake,7.3,INDONESIA,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",2,126.5,1.2,0,0.5,0,0,0,0,0,0
1846,3,0,0,0,0,definite tsunami,Earthquake,6.9,JAPAN,SANRIKU,39.5,142.5,2,1,1,0,0,0,0,0,0
1846,8,14,12,35,0,probable tsunami,Earthquake,6.1,ITALY,LIVORNO,43.4,10.6,0,0,3,0,0,0,0,0,0
1848,10,15,14,10,0,very doubtful tsunami,Earthquake and Landslide,7.9,NEW ZEALAND,COOK STRAIT,-41.9,173.6,0.3,-1,0.5,0,0,0,0,0,0
1849,1,25,5,10,0,probable tsunami,Earthquake,7.5,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,6.1,1,2,0,1,5,2,0,0
1849,11,17,10,10,0,definite tsunami,Earthquake,7.5,CHILE,CENTRAL CHILE,-29.95,-71.37,5,2.3,2.5,0,0,1,1,0,0
1851,2,28,15,0,0,questionable tsunami,Earthquake,0,GREECE,DODECANESE ISLANDS,36.5,28.7,0,0,0,0,0,0,0,0,0
1851,2,28,0,0,0,probable tsunami,Earthquake,7.2,TURKEY,"FETIYE, ASIA MINOR",35.5,28.7,0.9,-0.1,3,0,0,0,0,0,0
1851,5,26,18,14,0,questionable tsunami,Earthquake,7.2,CHILE,NORTHERN CHILE,-27.35,-70.35,3,1.6,2,0,0,1,1,0,0
1851,7,28,18,33,0,very doubtful tsunami,Earthquake,0,ITALY,LIGURIAN SEA,43.75,10.3,0,0,2,0,0,0,0,0,0
1851,10,12,6,0,0,questionable tsunami,Earthquake,6.6,ALBANIA,ALBANIAN COASTS,40.5,19.7,0.66,-0.1,3,0,0,0,0,0,0
1852,1,9,0,0,0,probable tsunami,Earthquake,6.5,INDONESIA,JAVA,-6.5,105.5,0,0,0.5,0,0,0,0,0,0
1852,9,16,10,30,0,questionable tsunami,Earthquake,7.5,PHILIPPINES,W. LUZON ISLAND,14,120.5,0,0,1.5,0,0,0,0,0,0
1852,11,11,0,0,0,very doubtful tsunami,Earthquake,6.8,INDONESIA,"SIBOLGA, SUMATRA",1.5,98,0,0,0,0,0,0,0,0,0
1852,11,25,22,40,0,definite tsunami,Earthquake,8.3,INDONESIA,BANDA SEA,-5.25,129.75,8,3,2.5,60,0,5,2,0,2
1852,11,29,0,0,0,probable tsunami,Earthquake,7,MEXICO,N. MEXICO,32.5,-115.5,3,0,1,0,0,0,0,0,0
1852,12,4,0,0,0,questionable tsunami,Earthquake,7,MEXICO,S. MEXICO,17,-100,0,0,0,0,0,0,0,0,0
1852,12,24,0,0,0,very doubtful tsunami,Earthquake,7,INDONESIA,BANDANEIRA,-5,130.5,0,0,2,0,0,1,1,0,0
1853,7,15,0,0,0,definite tsunami,Earthquake,6.7,VENEZUELA,CUMANA,10.5,-64.2,5,0,0,0,0,1,1,0,1
1854,1,4,0,0,0,questionable tsunami,Earthquake,6,INDONESIA,BANDA SEA,-3.5,128.6,0,0,0,0,0,0,0,0,0
1854,6,27,0,0,0,Erroneous entry,Earthquake,0,RUSSIA,N. KURIL ISLANDS,51,158,0,0,2,0,0,0,0,0,0
1854,8,4,0,0,0,questionable tsunami,Earthquake,7.2,COSTA RICA,COSTA RICA-PANAMA,8.5,-83,0,0,1.5,0,0,0,0,0,0
1854,8,7,0,0,0,questionable tsunami,Earthquake and Landslide,7.2,COSTA RICA,COSTA RICA-PANAMA,8.5,-83,0,0,1.5,0,0,24,3,0,1
1854,12,23,0,0,0,definite tsunami,Earthquake,8.3,JAPAN,ENSHUNADA SEA,34,137.9,21,4,3,300,0,25,4,8300,4
1854,12,24,8,0,0,definite tsunami,Earthquake,8.4,JAPAN,NANKAIDO,33.1,135,28,4,2.5,3000,0,25,4,15000,4
1855,1,23,9,0,0,probable tsunami,Earthquake,8,NEW ZEALAND,NORTHERN ISLAND,-41.25,175,11,3.2,3,0,0,0,0,0,0
1855,2,11,12,0,0,questionable tsunami,Earthquake and Landslide,5.5,NEW ZEALAND,,-39.2,177.6,0,0,0,0,0,0,0,0,0
1855,3,20,0,30,0,very doubtful tsunami,Earthquake,6,USA,N. CALIFORNIA,40.75,-124.2,0,0,0,0,0,0,0,0,0
1855,7,11,4,15,0,probable tsunami,Earthquake and Landslide,6,USA,S. CALIFORNIA,34.1,-118.1,0,0,0,0,0,0,0,0,0
1855,11,7,0,0,0,definite tsunami,Earthquake,7,JAPAN,ENSHUNADA,34.5,137.6,3,1,0,0,0,0,0,0,0
1855,11,11,0,0,0,definite tsunami,Earthquake,7,JAPAN,TOKAIDO,35.65,139.8,0,0,0,0,0,0,0,0,0
1855,12,3,0,0,0,very doubtful tsunami,Earthquake,7,JAPAN,NANKAIDO,32.5,134.5,0,0,0,0,0,0,0,0,0
